Date,From,To,Miles (approx),Legislative District,Event Stop?
"Wednesday, Sept 23rd",Ely,Finland (halfway),38,SD 3,Yes
"Thursday, Sept 24th-Saturday, 26th",Finland (halfway),Two Harbors,34,SD 3,Yes
"Sunday, Sept 27th",Two Harbors,Duluth,28,SD 8,Yes
"Monday, Sept 28th",Duluth,Cloquet,20,SD 11,Yes
"Tuesday, Sept 29th",Cloquet,Floodwood,35,,No
"Wednesday, Sept 30th",Floodwood,Grand Rapids,50,SD 6,Yes
"Thursday, October 1st",Grand Rapids,Deer River,30,,No
"Friday, October 2nd",Deer River,Cass Lake,28,,No
"Saturday, October 3rd",Cass Lake,Bemidji,15,2A,Yes
"Sunday, October 4th",Bemidji,Park Rapids,37,,No
"Monday, October 5th",Park Rapids,Detroit Lakes,40,,TBD
"Tuesday, October 6th",Detroit Lakes,Moorhead,50,SD 4,Yes
"Wednesday, October 7th-Thursday, 8th",Moorhead,Fergus Falls,56,,TBD
"Friday, October 9th",Fergus Falls,Alexandria,48,,No
"Saturday, October 10-Sunday, 11th",Alexandria,Saint Cloud,70,SD 14,Yes
"Monday, October 12th and Tuesday, 13th",Saint Cloud,Saint Cloud,,,No
"Thursday, October 15th",Saint Cloud,Mankato,120 over 3 days,SD 18,Yes
"Friday, October 16th",Mankato,Faribault,40,,No
"Saturday, October 17th",Faribault,Northfield,15,58A,Yes
"Sunday, October 18th",Northfield,Pine Island,40,,No
"Monday, October 19th",Pine Island,Rochester,20,SD 25,Yes
"Tuesday, October 20th",Rochester,Winona,50,26A,Yes
"Wednesday, October 21st",Winona,Wabasha,30,,No
"Thursday, October 22nd",Wabasha,Lake City,32,,Yes
"Friday, October 23rd",Lake City,Red Wing,20,,No
"Saturday, October 24th",Red Wing,Lakeville,42,SD 57,Yes
"Sunday, October 25th",Lakeville,Chanhassen,30,SD 48,Yes
"Monday, October 26th",Chanhassen,Minnetonka / Excelsior,15,45A,Yes
"Tuesday, October 27th",Minnetonka / Excelsior,Coon Rapids,20,SD 35,Yes
"Thursday, October 29th",Coon Rapids,Saint Paul,25,SD 64,Yes
"Friday, October 30th-31st",Saint Paul,Saint Paul,0,,No
"Sunday, November 1st",Saint Paul,Stillwater,25,SD 41,Yes
